,Year,Round,Region,Game,AFSeed,AFTeam,AFScore,AUSeed,AUTeam,AUScore,Fti,Uti
0,1985,1,NW,1,1,St. John's,83,16,Southern,59,1,2
1,1985,1,NW,2,8,Iowa,54,9,Arkansas,63,3,4
2,1985,1,NW,3,5,Washington,58,12,Kentucky,66,5,6
3,1985,1,NW,4,4,UNLV,85,13,San Diego St.,80,7,8
4,1985,1,NW,5,6,Tulsa,75,11,UTEP,79,9,10
5,1985,1,NW,6,3,North Carolina St.,65,14,Nevada,56,11,12
6,1985,1,NW,7,7,Alabama,50,10,Arizona,41,13,14
7,1985,1,NW,8,2,VCU,81,15,Marshall,65,15,16
8,1985,1,SW,9,1,Georgetown,68,16,Lehigh,43,17,18
9,1985,1,SW,10,8,Temple,60,9,Virginia Tech,57,19,20
10,1985,1,SW,11,5,SMU,85,12,Old Dominion,68,21,22
11,1985,1,SW,12,4,Loyola Chicago,59,13,Iona,58,23,24
12,1985,1,SW,13,6,Georgia,67,11,Wichita St.,59,25,26
13,1985,1,SW,14,3,Illinois,76,14,Northeastern,57,27,28
14,1985,1,SW,15,7,Syracuse,70,10,DePaul,65,29,30
15,1985,1,SW,16,2,Georgia Tech,65,15,Mercer,58,31,32
16,1985,1,NE,17,1,Oklahoma,96,16,North Carolina A&T,83,33,34
17,1985,1,NE,18,8,USC,55,9,Illinois St.,58,35,36
18,1985,1,NE,19,5,Louisiana Tech,78,12,Pittsburgh,54,37,38
19,1985,1,NE,20,4,Ohio St.,75,13,Iowa St.,64,39,40
20,1985,1,NE,21,6,Texas Tech,53,11,Boston College,55,41,42
21,1985,1,NE,22,3,Duke,75,14,Pepperdine,62,43,44
22,1985,1,NE,23,7,UAB,70,10,Michigan St.,68,45,46
23,1985,1,NE,24,2,Memphis,67,15,Penn,55,47,48
24,1985,1,SE,25,1,Michigan,59,16,Fairleigh Dickinson,55,49,50
25,1985,1,SE,26,8,Villanova,51,9,Dayton,49,51,52
26,1985,1,SE,27,5,Maryland,69,12,Miami OH,68,53,54
27,1985,1,SE,28,4,LSU,55,13,Navy,78,55,56
28,1985,1,SE,29,6,Purdue,58,11,Auburn,59,57,58
29,1985,1,SE,30,3,Kansas,49,14,Ohio,38,59,60
30,1985,1,SE,31,7,Notre Dame,79,10,Oregon St.,70,61,62
31,1985,1,SE,32,2,North Carolina,76,15,Middle Tennessee,57,63,64
63,1986,1,NW,1,1,Kentucky,75,16,Davidson,55,1,2
64,1986,1,NW,2,8,Western Kentucky,67,9,Nebraska,59,3,4
65,1986,1,NW,3,5,Alabama,97,12,Xavier,80,5,6
66,1986,1,NW,4,4,Illinois,75,13,Fairfield,51,7,8
67,1986,1,NW,5,6,Purdue,87,11,LSU,94,9,10
68,1986,1,NW,6,3,Memphis,95,14,Ball St.,63,11,12
69,1986,1,NW,7,7,Virginia Tech,62,10,Villanova,71,13,14
70,1986,1,NW,8,2,Georgia Tech,68,15,Marist,53,15,16
71,1986,1,SW,9,1,St. John's,83,16,Montana St.,74,17,18
72,1986,1,SW,10,8,Auburn,73,9,Arizona,63,19,20
73,1986,1,SW,11,5,Maryland,69,12,Pepperdine,64,21,22
74,1986,1,SW,12,4,UNLV,74,13,Louisiana Monroe,51,23,24
75,1986,1,SW,13,6,UAB,66,11,Missouri,64,25,26
76,1986,1,SW,14,3,North Carolina,84,14,Utah,72,27,28
77,1986,1,SW,15,7,Bradley,83,10,UTEP,65,29,30
78,1986,1,SW,16,2,Louisville,93,15,Drexel,73,31,32
79,1986,1,NE,17,1,Duke,85,16,Mississippi Valley St.,78,33,34
80,1986,1,NE,18,8,Old Dominion,72,9,West Virginia,64,35,36
81,1986,1,NE,19,5,Virginia,68,12,DePaul,72,37,38
82,1986,1,NE,20,4,Oklahoma,80,13,Northeastern,74,39,40
83,1986,1,NE,21,6,Saint Joseph's,60,11,Richmond,59,41,42
84,1986,1,NE,22,3,Indiana,79,14,Cleveland St.,83,43,44
85,1986,1,NE,23,7,Navy,87,10,Tulsa,68,45,46
86,1986,1,NE,24,2,Syracuse,101,15,Brown,52,47,48
87,1986,1,SE,25,1,Kansas,71,16,North Carolina A&T,46,49,50
88,1986,1,SE,26,8,Jacksonville,50,9,Temple,61,51,52
89,1986,1,SE,27,5,Michigan St.,72,12,Washington,70,53,54
90,1986,1,SE,28,4,Georgetown,70,13,Texas Tech,64,55,56
91,1986,1,SE,29,6,North Carolina St.,66,11,Iowa,64,57,58
92,1986,1,SE,30,3,Notre Dame,83,14,Little Rock,90,59,60
93,1986,1,SE,31,7,Iowa St.,81,10,Miami OH,79,61,62
94,1986,1,SE,32,2,Michigan,70,15,Akron,64,63,64
126,1987,1,NW,1,1,UNLV,95,16,Idaho St.,70,1,2
127,1987,1,NW,2,8,Georgia,79,9,Kansas St.,82,3,4
128,1987,1,NW,3,5,Virginia,60,12,Wyoming,64,5,6
129,1987,1,NW,4,4,UCLA,92,13,Central Michigan,73,7,8
130,1987,1,NW,5,6,Oklahoma,74,11,Tulsa,69,9,10
131,1987,1,NW,6,3,Pittsburgh,93,14,Marist,68,11,12
132,1987,1,NW,7,7,UTEP,98,10,Arizona,91,13,14
133,1987,1,NW,8,2,Iowa,99,15,Santa Clara,76,15,16
