Year,Team,Conf,BPI(O),BPI(D)
2008,Kansas,Big 12,12.4,9.6
2008,North Carolina,ACC,19.2,1.0
2008,Memphis,C-USA,11.3,8.0
2008,UCLA,Pac-12,7.9,10.9
2008,Duke,ACC,13.8,4.3
2008,Georgetown,Big East,4.3,12.9
2008,West Virginia,Big East,8.9,7.7
2008,Wisconsin,Big Ten,2.1,14.4
2008,Tennessee,SEC,13.3,2.8
2008,Louisville,Big East,7.1,9.1
2008,Davidson,Southern,9.5,5.3
2008,Clemson,ACC,10.2,4.5
2008,Washington St.,Pac-12,1.1,13.2
2008,Xavier,A 10,7.9,6.4
2008,Marquette,Big East,8.3,5.9
2008,Stanford,Pac-12,5.5,8.6
2008,Texas,Big 12,9.4,4.3
2008,Michigan St.,Big Ten,5.8,7.8
2008,Pittsburgh,Big East,7.2,6.0
2008,Indiana,Big Ten,8.5,4.1
2008,Butler,Horizon,3.3,9.2
2008,Connecticut,Big East,8.5,3.8
2008,Texas A&M,Big 12,4.1,8.2
2008,Notre Dame,Big East,10.6,1.6
2008,USC,Pac-12,4.9,7.1
2008,Ohio St.,Big Ten,3.6,8.2
2008,Gonzaga,WCC,8.1,2.9
2008,Mississippi St.,SEC,5.5,5.5
2008,Arizona,Pac-12,6.6,4.1
2008,Florida,SEC,8.1,2.5
2008,Miami FL,ACC,8.1,2.2
2008,Drake,MVC,5.4,4.9
2008,Purdue,Big Ten,3.9,6.0
2008,Oregon,Pac-12,11.0,-1.1
2008,Virginia Tech,ACC,2.4,7.4
2008,Arkansas,SEC,5.5,4.1
2008,Kansas St.,Big 12,8.6,1.1
2008,Syracuse,Big East,10.1,-0.6
2008,Oklahoma,Big 12,2.6,6.9
2008,Saint Joseph's,A 10,6.1,3.2
2008,Mississippi,SEC,10.1,-0.7
2008,New Mexico,Mountain West,5.2,4.1
2008,Georgia Tech,ACC,9.8,-0.5
2008,Missouri,Big 12,10.1,-1.0
2008,Villanova,Big East,5.6,3.4
2008,VCU,CAA,0.4,8.6
2008,Saint Mary's,WCC,5.1,3.9
2008,UNLV,Mountain West,2.6,6.0
2008,Vanderbilt,SEC,10.0,-1.6
2008,Maryland,ACC,5.9,2.4
2008,Florida St.,ACC,4.4,3.9
2008,BYU,Mountain West,4.6,3.6
2008,Western Kentucky,Sun Belt,7.5,0.6
2008,Illinois,Big Ten,-0.7,8.8
2008,Rhode Island,A 10,11.0,-3.1
2008,Baylor,Big 12,12.6,-4.8
2008,Massachusetts,A 10,11.3,-3.5
2008,Minnesota,Big Ten,3.2,4.4
2008,Kent St.,MAC,1.8,5.8
2008,Nebraska,Big 12,-0.5,8.0
2008,Duquesne,A 10,11.1,-3.7
2008,Kentucky,SEC,1.0,6.4
2008,Arizona St.,Pac-12,0.5,6.7
2008,Dayton,A 10,2.2,4.9
2008,Wake Forest,ACC,4.5,2.5
2008,Temple,A 10,4.7,2.3
2008,Washington,Pac-12,6.6,0.3
2008,California,Pac-12,9.6,-2.7
2008,Illinois St.,MVC,-1.6,8.5
2008,UAB,C-USA,5.0,1.9
2008,Houston,C-USA,8.4,-1.7
2008,George Mason,CAA,2.0,4.8
2008,Akron,MAC,2.9,3.7
2008,Virginia,ACC,7.8,-1.4
2008,Creighton,MVC,4.2,2.1
2008,South Alabama,Sun Belt,4.0,2.1
2008,Southern Illinois,MVC,-2.6,8.6
2008,Charlotte,A 10,2.2,3.8
2008,IUPUI,Summit,3.8,2.1
2008,Alabama,SEC,6.5,-0.5
2008,Winthrop,Big South,-4.7,10.5
2008,Providence,Big East,5.0,0.9
2008,Utah,Mountain West,1.5,4.2
2008,Oral Roberts,Summit,-0.9,6.5
2008,Georgia,SEC,0.4,4.9
2008,South Carolina,SEC,4.0,1.2
2008,Tulsa,C-USA,1.5,3.6
2008,Siena,MAAC,6.1,-1.0
2008,Oklahoma St.,Big 12,0.8,4.1
2008,Texas Tech,Big 12,2.3,2.6
2008,Miami OH,MAC,-3.2,8.1
2008,Stephen F. Austin,WAC,-4.9,9.8
2008,Cal St. Fullerton,Big West,9.6,-4.9
2008,Western Michigan,MAC,2.5,1.9
2008,UNC Greensboro,Southern,1.9,2.4
2008,Boston College,ACC,2.7,1.6
2008,Old Dominion,CAA,-0.1,4.4
2008,New Mexico St.,WAC,7.2,-2.9
2008,UC Santa Barbara,Big West,0.3,3.9
2008,Ohio,MAC,1.0,3.2
2008,San Diego St.,Mountain West,-0.7,4.9
2008,North Carolina St.,ACC,1.1,3.2
2008,Missouri St.,MVC,1.2,2.8
2008,Bradley,MVC,7.3,-3.3
2008,Southern Miss,C-USA,2.0,1.9
2008,UCF,C-USA,3.9,0.0
2008,Cornell,Ivy,6.2,-2.5
2008,UTEP,C-USA,6.5,-3.1
2008,DePaul,Big East,5.8,-2.4
2008,Seton Hall,Big East,8.5,-5.1
2008,South Florida,Big East,1.4,1.9
2008,North Dakota St.,Summit,6.1,-2.9
2008,LSU,SEC,1.6,1.5
2008,Cal St. Northridge,Big West,4.5,-1.5
2008,Valparaiso,Horizon,2.6,0.4
2008,Portland St.,Big Sky,3.8,-0.9
2008,Cincinnati,Big East,-0.8,3.6
2008,Robert Morris,NEC,3.5,-0.7
2008,Brown,Ivy,-0.6,3.3
2008,Wright St.,Horizon,-4.4,7.1
2008,Belmont,ASUN,6.8,-4.2
2008,Sam Houston St.,WAC,-1.3,3.9
2008,Cleveland St.,Horizon,-1.1,3.6
2008,Illinois Chicago,Horizon,1.3,1.3
2008,Rider,MAAC,5.5,-3.0
2008,Nevada,WAC,3.9,-1.4
2008,Northern Iowa,MVC,-4.2,6.7
2008,High Point,Big South,-1.6,4.1
