Year,Team,BPI(O),BPI(D),Conf
2008,Kansas Jayhawks,12.4,9.6,Big 12
2008,North Carolina Tar Heels,19.2,1.0,ACC
2008,Memphis Tigers,11.3,8.0,CUSA
2008,UCLA Bruins,7.9,10.9,Pac-12
2008,Duke Blue Devils,13.8,4.3,ACC
2008,Georgetown Hoyas,4.3,12.9,Big East
2008,West Virginia Mountaineers,8.9,7.7,Big East
2008,Wisconsin Badgers,2.1,14.4,Big Ten
2008,Tennessee Volunteers,13.3,2.8,SEC
2008,Louisville Cardinals,7.1,9.1,Big East
2008,Davidson Wildcats,9.5,5.3,Southern
2008,Clemson Tigers,10.2,4.5,ACC
2008,Washington State Cougars,1.1,13.2,Pac-12
2008,Xavier Musketeers,7.9,6.4,A-10
2008,Marquette Golden Eagles,8.3,5.9,Big East
2008,Stanford Cardinal,5.5,8.6,Pac-12
2008,Texas Longhorns,9.4,4.3,Big 12
2008,Michigan State Spartans,5.8,7.8,Big Ten
2008,Pittsburgh Panthers,7.2,6.0,Big East
2008,Indiana Hoosiers,8.5,4.1,Big Ten
2008,Butler Bulldogs,3.3,9.2,Horizon
2008,UConn Huskies,8.5,3.8,Big East
2008,Texas A&M Aggies,4.1,8.2,Big 12
2008,Notre Dame Fighting Irish,10.6,1.6,Big East
2008,USC Trojans,4.9,7.1,Pac-12
2008,Ohio State Buckeyes,3.6,8.2,Big Ten
2008,Gonzaga Bulldogs,8.1,2.9,WCC
2008,Mississippi State Bulldogs,5.5,5.5,SEC
2008,Arizona Wildcats,6.6,4.1,Pac-12
2008,Florida Gators,8.1,2.5,SEC
2008,Miami Hurricanes,8.1,2.2,ACC
2008,Drake Bulldogs,5.4,4.9,MVC
2008,Purdue Boilermakers,3.9,6.0,Big Ten
2008,Oregon Ducks,11.0,-1.1,Pac-12
2008,Virginia Tech Hokies,2.4,7.4,ACC
2008,Arkansas Razorbacks,5.5,4.1,SEC
2008,Kansas State Wildcats,8.6,1.1,Big 12
2008,Syracuse Orange,10.1,-0.6,Big East
2008,Oklahoma Sooners,2.6,6.9,Big 12
2008,Saint Joseph's Hawks,6.1,3.2,A-10
2008,Ole Miss Rebels,10.1,-0.7,SEC
2008,New Mexico Lobos,5.2,4.1,Mountain West
2008,Georgia Tech Yellow Jackets,9.8,-0.5,ACC
2008,Missouri Tigers,10.1,-1.0,Big 12
2008,Villanova Wildcats,5.6,3.4,Big East
2008,VCU Rams,0.4,8.6,CAA
2008,Saint Mary's Gaels,5.1,3.9,WCC
2008,UNLV Rebels,2.6,6.0,Mountain West
2008,Vanderbilt Commodores,10.0,-1.6,SEC
2008,Maryland Terrapins,5.9,2.4,ACC
2008,Florida State Seminoles,4.4,3.9,ACC
2008,BYU Cougars,4.6,3.6,Mountain West
2008,Western Kentucky Hilltoppers,7.5,0.6,Sun Belt
2008,Illinois Fighting Illini,-0.7,8.8,Big Ten
2008,Rhode Island Rams,11.0,-3.1,A-10
2008,Baylor Bears,12.6,-4.8,Big 12
2008,Massachusetts Minutemen,11.3,-3.5,A-10
2008,Minnesota Golden Gophers,3.2,4.4,Big Ten
2008,Kent State Golden Flashes,1.8,5.8,MAC
2008,Nebraska Cornhuskers,-0.5,8.0,Big 12
2008,Duquesne Dukes,11.1,-3.7,A-10
2008,Kentucky Wildcats,1.0,6.4,SEC
2008,Arizona State Sun Devils,0.5,6.7,Pac-12
2008,Dayton Flyers,2.2,4.9,A-10
2008,Wake Forest Demon Deacons,4.5,2.5,ACC
2008,Temple Owls,4.7,2.3,A-10
2008,Washington Huskies,6.6,0.3,Pac-12
2008,California Golden Bears,9.6,-2.7,Pac-12
2008,Illinois State Redbirds,-1.6,8.5,MVC
2008,UAB Blazers,5.0,1.9,CUSA
2008,Houston Cougars,8.4,-1.7,CUSA
2008,George Mason Patriots,2.0,4.8,CAA
2008,Akron Zips,2.9,3.7,MAC
2008,Virginia Cavaliers,7.8,-1.4,ACC
2008,Creighton Bluejays,4.2,2.1,MVC
2008,South Alabama Jaguars,4.0,2.1,Sun Belt
2008,Southern Illinois Salukis,-2.6,8.6,MVC
