Year,Team,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS
2008,Kansas,37,3,80.5,61.5,19.03,8.2,14.9,11.99,26.9
2008,North Carolina,36,3,88.6,72.5,16.05,8.12,23.41,0.76,24.17
2008,Memphis,38,2,79.9,61.9,17.98,5.76,13.46,10.28,23.73
2008,UCLA,35,4,73.5,59.0,14.54,7.71,8.6,13.1,21.71
2008,Duke,28,6,83.2,69.4,13.79,9.28,16.48,5.04,21.52
2008,Wisconsin,31,5,67.3,54.4,12.86,6.73,2.83,16.76,19.59
2008,Louisville,27,9,72.5,61.5,11.0,8.0,7.15,11.85,19.0
2008,Georgetown,28,6,69.6,58.1,11.5,7.23,4.06,14.67,18.73
2008,Marquette,25,10,75.9,64.8,11.11,8.09,11.23,7.39,18.62
2008,Tennessee,31,5,81.8,70.0,11.86,7.84,15.69,2.73,18.41
2008,Texas,31,7,75.5,64.9,10.55,8.59,9.93,8.2,18.13
2008,Clemson,24,10,79.2,69.8,9.44,9.08,12.37,5.68,18.05
2008,West Virginia,26,11,74.8,63.6,11.27,7.16,8.45,9.52,17.97
2008,Xavier,30,7,75.1,63.4,11.7,5.47,8.4,8.76,17.17
2008,Washington St.,26,9,66.4,56.4,10.0,6.35,0.1,16.25,16.35
2008,Michigan St.,27,9,71.2,62.6,8.64,7.68,7.0,9.32,16.32
2008,Stanford,28,8,70.9,61.6,9.36,6.95,5.6,10.71,16.31
2008,Texas A&M,25,11,70.8,61.6,9.22,7.46,4.82,11.38,16.2
2008,Notre Dame,25,8,79.0,69.6,9.42,7.03,13.12,3.03,16.15
2008,Kansas St.,21,12,78.0,68.9,9.09,7.79,12.61,3.17,15.79
2008,Indiana,25,8,75.0,65.3,9.7,6.08,10.93,4.85,15.78
2008,Pittsburgh,27,10,73.8,65.1,8.68,7.84,8.0,7.63,15.62
2008,Connecticut,24,9,77.5,68.7,8.79,6.76,10.81,4.73,15.54
2008,Gonzaga,25,8,76.5,63.8,12.67,2.15,9.29,5.52,14.81
2008,Arizona,19,15,71.9,66.9,4.91,10.22,7.57,6.99,14.55
2008,Drake,28,5,73.9,62.1,11.82,4.15,7.43,6.65,14.08
2008,Davidson,29,7,77.9,63.2,14.69,1.66,8.49,5.44,13.93
2008,USC,21,12,69.0,63.7,5.3,8.59,5.35,8.54,13.89
2008,Ohio St.,24,13,68.9,62.2,6.78,7.97,3.38,10.34,13.72
2008,Mississippi St.,23,11,73.2,65.5,7.68,5.74,5.74,7.68,13.42
