Year,Team,Conf_x,AdjEM,AdjO,AdjD,AdjT,SOSEM,SOSO,SOSD,Conf_y,BPI(O),BPI(D),W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,PASE
2008,Kansas,B12,35.21,120.9,85.7,66.8,9.57,109.2,99.6,Big 12,12.4,9.6,37.0,3.0,80.5,61.5,19.03,8.2,14.9,11.99,26.9,0.0206258890469417
2008,Memphis,CUSA,31.51,118.0,86.5,68.1,5.83,107.0,101.1,C-USA,11.3,8.0,38.0,2.0,79.9,61.9,17.98,5.76,13.46,10.28,23.73,0.0743421052631579
2008,North Carolina,ACC,30.22,122.1,91.9,72.5,10.18,108.0,97.8,ACC,19.2,1.0,36.0,3.0,88.6,72.5,16.05,8.12,23.41,0.76,24.17,0.4583978328173375
2008,UCLA,P10,29.94,118.0,88.1,64.1,10.03,109.3,99.3,Pac-12,7.9,10.9,35.0,4.0,73.5,59.0,14.54,7.71,8.6,13.1,21.71,0.3679511278195489
2008,Wisconsin,B10,26.68,113.5,86.8,61.1,7.35,107.1,99.8,Big Ten,2.1,14.4,31.0,5.0,67.3,54.4,12.86,6.73,2.83,16.76,19.59,0.2757675438596491
2008,Duke,ACC,26.4,116.3,89.9,71.5,10.06,109.1,99.0,ACC,13.8,4.3,28.0,6.0,83.2,69.4,13.79,9.28,16.48,5.04,21.52,0.2414108187134504
2008,Georgetown,BE,25.56,115.2,89.7,60.5,8.48,108.2,99.8,Big East,4.3,12.9,28.0,6.0,69.6,58.1,11.5,7.23,4.06,14.67,18.73,-0.0852272727272726
2008,Louisville,BE,25.41,113.1,87.7,65.3,9.34,108.4,99.0,Big East,7.1,9.1,27.0,9.0,72.5,61.5,11.0,8.0,7.15,11.85,19.0,0.3717105263157896
2008,Texas,B12,25.09,120.6,95.5,63.9,10.37,108.4,98.0,Big 12,9.4,4.3,31.0,7.0,75.5,64.9,10.55,8.59,9.93,8.2,18.13,-0.1256805807622504
2008,Washington St.,P10,24.32,115.1,90.8,58.3,8.99,109.0,100.0,Pac-12,1.1,13.2,26.0,9.0,66.4,56.4,10.0,6.35,0.1,16.25,16.35,-0.3245614035087719
2008,Davidson,SC,23.61,117.0,93.4,66.2,3.36,105.2,101.8,Southern,9.5,5.3,29.0,7.0,77.9,63.2,14.69,1.66,8.49,5.44,13.93,-0.0424641148325358
2008,Stanford,P10,22.75,113.6,90.9,63.4,9.32,109.1,99.7,Pac-12,5.5,8.6,28.0,8.0,70.9,61.6,9.36,6.95,5.6,10.71,16.31,-0.2652138157894737
2008,Tennessee,SEC,22.17,116.2,94.0,70.7,9.58,109.4,99.8,SEC,13.3,2.8,31.0,5.0,81.8,70.0,11.86,7.84,15.69,2.73,18.41,-0.229876160990712
2008,Marquette,BE,22.16,115.3,93.1,66.6,8.62,107.9,99.3,Big East,8.3,5.9,25.0,10.0,75.9,64.8,11.11,8.09,11.23,7.39,18.62,-0.2324561403508772
2008,Xavier,A10,22.05,117.3,95.2,63.8,6.94,108.1,101.2,A 10,7.9,6.4,30.0,7.0,75.1,63.4,11.7,5.47,8.4,8.76,17.17,0.090080971659919
2008,Clemson,ACC,22.03,114.0,91.9,68.0,9.53,109.3,99.8,ACC,10.2,4.5,24.0,10.0,79.2,69.8,9.44,9.08,12.37,5.68,18.05,-0.2966008771929824
2008,Drake,MVC,21.46,120.0,98.5,62.9,4.89,105.5,100.6,MVC,5.4,4.9,28.0,5.0,73.9,62.1,11.82,4.15,7.43,6.65,14.08,-0.4122807017543859
2008,West Virginia,BE,21.29,114.6,93.3,63.8,9.0,108.5,99.5,Big East,8.9,7.7,26.0,11.0,74.8,63.6,11.27,7.16,8.45,9.52,17.97,0.1641081871345029
2008,Michigan St.,B10,21.15,115.8,94.7,63.3,8.71,108.2,99.5,Big Ten,5.8,7.8,27.0,9.0,71.2,62.6,8.64,7.68,7.0,9.32,16.32,0.3788200339558574
2008,Butler,Horz,19.97,116.2,96.2,59.5,2.79,104.3,101.5,Horizon,3.3,9.2,30.0,4.0,68.8,58.4,10.41,2.64,2.38,10.63,13.0,0.7289473684210528
2008,Texas A&M,B12,19.93,112.3,92.3,61.8,8.28,107.4,99.1,Big 12,4.1,8.2,25.0,11.0,70.8,61.6,9.22,7.46,4.82,11.38,16.2,0.0532894736842105
2008,Pittsburgh,BE,19.91,116.5,96.6,63.9,9.52,107.8,98.3,Big East,7.2,6.0,27.0,10.0,73.8,65.1,8.68,7.84,8.0,7.63,15.62,-0.4253289473684211
2008,Arizona,P10,19.14,116.4,97.3,63.5,12.72,110.3,97.6,Pac-12,6.6,4.1,19.0,15.0,71.9,66.9,4.91,10.22,7.57,6.99,14.55,-0.1994969040247677
2008,Notre Dame,BE,19.07,114.6,95.6,69.5,6.88,107.5,100.6,Big East,10.6,1.6,25.0,8.0,79.0,69.6,9.42,7.03,13.12,3.03,16.15,-0.0560941828254847
2008,Gonzaga,WCC,19.05,114.5,95.5,65.9,2.57,104.0,101.5,WCC,8.1,2.9,25.0,8.0,76.5,63.8,12.67,2.15,9.29,5.52,14.81,0.1331578947368421
2008,Kansas St.,B12,18.9,114.2,95.3,69.7,9.09,108.0,98.9,Big 12,8.6,1.1,21.0,12.0,78.0,68.9,9.09,7.79,12.61,3.17,15.79,-0.1640625
2008,Connecticut,BE,18.9,115.2,96.3,67.1,7.67,107.7,100.0,Big East,8.5,3.8,24.0,9.0,77.5,68.7,8.79,6.76,10.81,4.73,15.54,0.384725400457666
2008,USC,P10,18.67,110.5,91.9,65.2,11.18,109.7,98.5,Pac-12,4.9,7.1,21.0,12.0,69.0,63.7,5.3,8.59,5.35,8.54,13.89,-0.0921052631578946
2008,Indiana,B10,18.43,114.6,96.1,66.2,6.28,106.6,100.3,Big Ten,8.5,4.1,25.0,8.0,75.0,65.3,9.7,6.08,10.93,4.85,15.78,-0.1154970760233918
2008,Purdue,B10,18.3,110.5,92.2,66.9,6.41,106.2,99.7,Big Ten,3.9,6.0,25.0,9.0,69.6,62.4,7.21,5.9,5.95,7.16,13.1,-0.3323502722323049
2008,Ohio St.,B10,17.79,110.2,92.4,64.0,8.35,108.6,100.3,Big Ten,3.6,8.2,24.0,13.0,68.9,62.2,6.78,7.97,3.38,10.34,13.72,-0.1360645933014353
2008,New Mexico,MWC,17.08,111.1,94.0,64.4,1.13,104.0,102.9,Mountain West,5.2,4.1,24.0,9.0,74.1,62.7,11.42,1.72,5.99,6.55,12.53,-0.5531798245614036
2008,Mississippi St.,SEC,16.77,108.2,91.5,66.6,6.22,108.1,101.8,SEC,5.5,5.5,23.0,11.0,73.2,65.5,7.68,5.74,5.74,7.68,13.42,-0.1059210526315788
2008,Virginia Tech,ACC,16.29,107.1,90.8,65.8,7.41,107.9,100.5,ACC,2.4,7.4,21.0,14.0,70.2,64.7,5.46,6.54,3.05,8.95,12.0,-0.3479532163742689
2008,BYU,MWC,15.76,107.4,91.7,67.8,1.47,104.2,102.7,Mountain West,4.6,3.6,27.0,8.0,73.7,63.2,10.49,1.33,5.74,6.08,11.82,-0.3578216374269005
2008,Oregon,P10,15.66,118.8,103.1,65.8,10.56,108.9,98.4,Pac-12,11.0,-1.1,18.0,14.0,76.6,72.5,4.03,7.65,12.03,-0.35,11.68,0.4038461538461538
2008,Miami FL,ACC,15.38,112.5,97.1,65.8,7.78,106.7,98.9,ACC,8.1,2.2,23.0,11.0,74.8,67.9,6.85,7.13,7.49,4.89,12.38,-0.2188995215311003
2008,Florida,SEC,15.37,115.9,100.5,65.0,3.13,105.1,102.0,SEC,8.1,2.5,24.0,12.0,77.5,67.6,9.94,4.98,8.39,3.96,12.34,0.5649313501144165
2008,Nebraska,B12,15.31,108.0,92.7,61.6,6.19,106.4,100.2,Big 12,-0.5,8.0,20.0,13.0,67.1,60.7,6.42,6.34,0.38,10.92,11.31,-0.8524436090225566
2008,Arkansas,SEC,15.19,111.4,96.2,66.5,7.19,108.4,101.2,SEC,5.5,4.1,23.0,12.0,74.1,68.3,5.74,6.73,6.67,5.81,12.48,0.2691647597254004
2008,Baylor,B12,14.82,115.7,100.9,70.1,7.58,106.9,99.3,Big 12,12.6,-4.8,21.0,11.0,81.3,74.9,6.41,5.75,15.95,-4.5,11.46,-0.2061403508771929
2008,Saint Mary's,WCC,14.66,109.2,94.6,66.4,0.11,103.4,103.3,WCC,5.1,3.9,25.0,7.0,75.7,63.7,12.0,0.36,6.27,5.12,11.39,-0.2619617224880382
2008,Western Kentucky,SB,14.6,111.9,97.3,68.2,-0.85,103.3,104.2,Sun Belt,7.5,0.6,29.0,7.0,77.4,66.8,10.61,0.24,7.93,1.41,9.34,0.2900219298245614
2008,Oklahoma,B12,14.47,109.5,95.1,63.1,9.45,108.3,98.9,Big 12,2.6,6.9,23.0,12.0,67.9,63.8,4.11,7.85,3.36,8.61,11.97,-0.2283138401559453
2008,Saint Joseph's,A10,14.32,115.1,100.8,64.0,5.81,106.9,101.1,A 10,6.1,3.2,21.0,13.0,73.1,67.4,5.65,3.98,6.05,3.58,9.63,-0.1439144736842105
