1,2,3,4,5,6,W,Exp Wins
156,150,128,101,60,37,24,3.2051282051282053
156,141,95,68,32,13,5,2.269230769230769
156,130,80,39,17,11,4,1.8012820512820513
156,120,72,23,14,4,2,1.5064102564102564
156,99,52,13,9,4,0,1.1346153846153846
156,94,44,16,3,2,1,1.0256410256410255
156,93,29,10,3,1,1,0.8782051282051282
156,74,16,8,6,4,1,0.6987179487179487
156,78,8,5,2,0,0,0.5961538461538461
156,59,24,9,1,0,0,0.5961538461538461
156,58,26,9,5,0,0,0.6282051282051282
156,53,22,2,0,0,0,0.4935897435897436
156,32,6,0,0,0,0,0.24358974358974358
156,22,2,0,0,0,0,0.15384615384615385
156,11,4,1,0,0,0,0.10256410256410256
156,2,0,0,0,0,0,0.01282051282051282
