Year,Team,Conf_x,AdjEM,AdjO,AdjD,AdjT,SOSEM,SOSO,SOSD,BPI(O),BPI(D),Conf_y,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Adj OE,Adj DE,Barthag,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Talent,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,PASE
2008,Kansas,B12,+35.21,120.9,85.7,66.8,+9.57,109.2,99.6,12.4,9.6,Big 12,37.0,3.0,80.5,61.5,19.03,8.2,14.9,11.99,26.9,121.369,85.507,0.982,36.0,39.0,56.6,44.3,36.4,31.0,19.1,22.4,37.6,29.1,68.5,55.4,41.2,39.7,32.8,16.8,6.4,61.1,52.7,29.3,38.3,68.645,77.1,81.427,2.047,89.633,70.7,68.2,1.163,0.892,33.426,0.0037112010796221
2008,Memphis,CUSA,+31.51,118.0,86.5,68.1,+5.83,107.0,101.1,11.3,8.0,CUSA,38.0,2.0,79.9,61.9,17.98,5.76,13.46,10.28,23.73,116.963,86.069,0.971,38.0,40.0,52.7,43.4,40.4,31.7,16.6,22.5,37.8,29.6,70.2,52.9,42.6,34.9,30.2,15.0,8.2,55.7,49.2,35.2,28.7,70.185,77.749,80.518,1.605,82.995,61.4,68.0,1.131,0.877,26.161,0.075
2008,North Carolina,ACC,+30.22,122.1,91.9,72.5,+10.18,108.0,97.8,19.2,1.0,ACC,36.0,3.0,88.6,72.5,16.05,8.12,23.41,0.76,24.17,122.927,91.908,0.966,36.0,39.0,53.0,48.2,38.0,25.7,18.8,21.1,42.5,29.0,75.4,52.1,47.8,37.2,32.6,10.6,9.9,52.5,50.3,22.6,34.2,74.691,77.311,80.158,1.595,90.906,75.7,66.8,1.159,0.949,34.341,0.3996336996336996
2008,UCLA,P10,+29.94,118.0,88.1,64.1,+10.03,109.3,99.3,7.9,10.9,Pac-12,35.0,4.0,73.5,59.0,14.54,7.71,8.6,13.1,21.71,116.196,86.766,0.966,34.0,38.0,52.2,46.5,37.3,25.6,19.1,21.8,39.2,27.2,65.3,52.4,45.4,34.4,32.9,10.9,6.8,54.2,50.5,28.0,27.5,66.074,77.86,81.032,1.491,78.469,73.6,68.5,1.12,0.907,34.071,0.4386446886446886
2008,Wisconsin,B10,+26.68,113.5,86.8,61.1,+7.35,107.1,99.8,2.1,14.4,Big Ten,31.0,5.0,67.3,54.4,12.86,6.73,2.83,16.76,19.59,112.57,85.391,0.96,31.0,36.0,50.6,43.4,39.9,25.4,19.5,21.9,36.2,28.6,62.4,49.3,41.7,35.6,31.3,9.5,8.0,54.1,50.1,31.8,33.0,63.12,77.432,81.076,1.939,82.1,70.5,68.3,1.078,0.872,29.875,0.1951282051282051
2008,Duke,ACC,+26.40,116.3,89.9,71.5,+10.06,109.1,99.0,13.8,4.3,ACC,28.0,6.0,83.2,69.4,13.79,9.28,16.48,5.04,21.52,115.836,89.864,0.949,28.0,34.0,53.6,47.6,40.9,31.9,18.3,24.7,33.9,33.7,74.1,51.7,47.0,37.7,32.9,8.8,11.4,51.6,47.6,39.2,25.0,73.456,77.243,79.919,1.23,95.074,69.7,67.2,1.119,0.933,34.002,0.24012474012474
2008,Georgetown,BE,+25.56,115.2,89.7,60.5,+8.48,108.2,99.8,4.3,12.9,Big East,28.0,6.0,69.6,58.1,11.5,7.23,4.06,14.67,18.73,112.955,87.88,0.947,28.0,34.0,56.7,41.9,34.0,36.0,21.3,19.8,33.1,32.7,62.8,56.2,40.5,38.4,29.6,13.8,8.4,61.6,54.3,40.2,35.5,62.944,77.98,82.117,1.773,71.165,65.4,67.8,1.101,0.919,31.275,-0.0792540792540792
2008,Louisville,BE,+25.41,113.1,87.7,65.3,+9.34,108.4,99.0,7.1,9.1,Big East,27.0,9.0,72.5,61.5,11.0,8.0,7.15,11.85,19.0,112.087,86.536,0.951,27.0,36.0,53.1,44.1,36.5,33.5,20.2,21.7,33.4,30.9,67.4,53.5,43.1,35.0,30.5,13.6,7.9,58.2,57.1,38.7,34.6,67.176,77.488,81.28,1.617,83.94,64.7,68.3,1.073,0.91,32.336,0.3663708086785009
2008,Texas,B12,+25.09,120.6,95.5,63.9,+10.37,108.4,98.0,9.4,4.3,Big 12,31.0,7.0,75.5,64.9,10.55,8.59,9.93,8.2,18.13,120.612,93.77,0.948,30.0,37.0,51.5,45.7,32.0,31.0,14.2,17.9,36.3,33.6,65.3,48.5,43.2,38.0,33.2,14.2,7.5,48.3,56.2,34.9,38.1,64.727,75.941,80.494,1.229,81.767,68.3,68.6,1.143,0.997,36.159,-0.04508547008547
2008,Washington St.,P10,+24.32,115.1,90.8,58.3,+8.99,109.0,100.0,1.1,13.2,Pac-12,26.0,9.0,66.4,56.4,10.0,6.35,0.1,16.25,16.35,113.361,89.788,0.936,26.0,35.0,53.7,46.7,38.5,28.4,17.0,21.9,27.8,29.8,59.6,53.0,45.3,36.8,33.1,8.7,8.0,59.0,49.8,33.9,32.4,60.006,77.764,81.077,2.39,24.685,72.8,72.0,1.103,0.937,33.284,-0.4006410256410255
2008,Davidson,SC,+23.61,117.0,93.4,66.2,+3.36,105.2,101.8,9.5,5.3,Southern,29.0,7.0,77.9,63.2,14.69,1.66,8.49,5.44,13.93,114.67,91.73,0.929,28.0,35.0,54.1,49.3,26.3,37.3,17.3,24.3,32.4,28.5,68.1,54.1,47.0,36.1,35.5,9.3,7.0,59.1,51.6,40.6,37.8,68.439,77.371,79.794,1.996,18.502,72.6,63.5,1.125,0.93,23.532,-0.0396270396270396
2008,Stanford,P10,+22.75,113.6,90.9,63.4,+9.32,109.1,99.7,5.5,8.6,Pac-12,28.0,8.0,70.9,61.6,9.36,6.95,5.6,10.71,16.31,112.796,89.829,0.932,28.0,36.0,49.8,44.3,39.6,32.8,18.8,17.7,39.1,29.2,64.4,48.0,42.1,36.6,33.3,13.0,6.1,58.3,45.7,27.1,28.3,65.145,78.338,82.346,1.859,64.912,69.4,66.4,1.086,0.943,34.216,-0.2580128205128205
2008,Tennessee,SEC,+22.17,116.2,94.0,70.7,+9.58,109.4,99.8,13.3,2.8,SEC,31.0,5.0,81.8,70.0,11.86,7.84,15.69,2.73,18.41,114.604,91.639,0.929,30.0,35.0,52.4,49.1,38.0,39.6,18.2,24.7,36.2,34.6,72.8,51.5,50.3,35.8,31.2,8.9,10.9,61.1,55.0,38.9,35.9,72.817,76.574,79.866,1.716,57.614,65.7,67.4,1.113,0.968,32.68,-0.2393162393162392
2008,Marquette,BE,+22.16,115.3,93.1,66.6,+8.62,107.9,99.3,8.3,5.9,Big East,25.0,10.0,75.9,64.8,11.11,8.09,11.23,7.39,18.62,114.135,91.091,0.93,24.0,34.0,50.6,46.3,37.5,41.0,18.7,23.9,38.2,33.4,68.8,49.0,46.7,35.8,30.4,10.2,9.1,56.4,54.7,33.6,31.1,68.568,75.845,79.778,1.839,55.941,70.5,67.9,1.097,0.936,32.597,-0.2941970310391362
2008,Xavier,A10,+22.05,117.3,95.2,63.8,+6.94,108.1,101.2,7.9,6.4,A-10,30.0,7.0,75.1,63.4,11.7,5.47,8.4,8.76,17.17,115.514,93.352,0.921,30.0,37.0,54.6,47.1,42.4,31.4,19.8,19.6,35.8,30.1,65.5,52.2,45.2,39.1,33.6,9.7,11.1,60.3,58.8,36.5,36.5,65.753,76.611,80.209,2.038,13.33,74.9,67.7,1.144,0.966,26.372,0.1674063116370809
2008,Clemson,ACC,+22.03,114.0,91.9,68.0,+9.53,109.3,99.8,10.2,4.5,ACC,24.0,10.0,79.2,69.8,9.44,9.08,12.37,5.68,18.05,113.184,90.395,0.93,23.0,33.0,51.9,48.1,30.6,33.8,20.3,24.6,39.8,36.4,70.9,49.7,49.0,37.5,30.4,13.3,8.4,53.3,48.5,33.3,28.6,69.596,77.279,79.903,1.663,48.799,62.2,71.7,1.088,0.961,32.822,-0.3767258382642998
2008,Drake,MVC,+21.46,120.0,98.5,62.9,+4.89,105.5,100.6,5.4,4.9,MVC,28.0,5.0,73.9,62.1,11.82,4.15,7.43,6.65,14.08,119.278,97.734,0.908,26.0,31.0,52.6,50.4,35.2,23.9,18.0,24.1,36.7,33.1,63.5,50.5,49.5,36.7,34.5,7.6,10.5,59.6,56.4,46.1,39.4,64.443,75.719,79.587,2.241,2.519,76.8,67.1,1.142,0.974,22.206,-0.4188034188034188
2008,West Virginia,BE,+21.29,114.6,93.3,63.8,+9.00,108.5,99.5,8.9,7.7,Big East,26.0,11.0,74.8,63.6,11.27,7.16,8.45,9.52,17.97,113.807,92.686,0.914,25.0,36.0,51.4,48.0,36.6,39.7,16.4,22.8,34.4,31.2,66.2,50.1,45.2,36.0,35.8,14.4,6.8,58.2,51.7,33.9,32.4,65.621,78.073,80.078,1.679,46.742,68.7,65.5,1.113,0.952,31.807,0.1542022792022792
