Year,Round,Region,Game,AFSeed,AFTeam,AFScore,AUSeed,AUTeam,AUScore,Fti,Uti,W_x,L_x,Pts_x,Opp_x,MOV_x,SOS_x,OSRS_x,DSRS_x,SRS_x,PASE_x,W_y,L_y,Pts_y,Opp_y,MOV_y,SOS_y,OSRS_y,DSRS_y,SRS_y,PASE_y
2008,0,PI,-1,16,Mount St. Mary's,69,16,Coppin St.,60,2,65,19.0,15.0,69.2,67.7,1.53,-5.12,-3.87,0.28,-3.59,0.96875,16.0,21.0,59.8,66.0,-6.24,-6.2,-12.38,-2.13,-14.51,
2008,1,NW,1,1,North Carolina,113,16,Mount St. Mary's,74,1,2,36.0,3.0,88.6,72.5,16.05,8.12,23.41,0.76,24.17,0.5479910714285714,19.0,15.0,69.2,67.7,1.53,-5.12,-3.87,0.28,-3.59,0.96875
2008,1,NW,2,8,Indiana,72,9,Arkansas,86,3,4,25.0,8.0,75.0,65.3,9.7,6.08,10.93,4.85,15.78,-0.1183035714285714,23.0,12.0,74.1,68.3,5.74,6.73,6.67,5.81,12.48,0.5223214285714286
2008,1,NW,3,5,Notre Dame,68,12,George Mason,50,5,6,25.0,8.0,79.0,69.6,9.42,7.03,13.12,3.03,16.15,0.1145833333333333,23.0,11.0,69.3,62.5,6.82,-0.75,0.96,5.11,6.07,-0.125
2008,1,NW,4,4,Washington St.,71,13,Winthrop,40,7,8,26.0,9.0,66.4,56.4,10.0,6.35,0.1,16.25,16.35,-0.1875,22.0,12.0,64.9,58.5,6.32,-1.45,-7.17,10.78,3.61,-0.3385416666666667
2008,1,NW,5,6,Oklahoma,72,11,Saint Joseph's,64,9,10,23.0,12.0,67.9,63.8,4.11,7.85,3.36,8.61,11.97,0.2135416666666666,21.0,13.0,73.1,67.4,5.65,3.98,6.05,3.58,9.63,-0.3645833333333333
2008,1,NW,6,3,Louisville,79,14,Boise St.,61,11,12,27.0,9.0,72.5,61.5,11.0,8.0,7.15,11.85,19.0,0.375,25.0,9.0,81.4,75.5,5.88,-2.07,10.33,-8.73,1.6,-0.234375
2008,1,NW,7,7,Butler,81,10,South Alabama,61,13,14,30.0,4.0,68.8,58.4,10.41,2.64,2.38,10.63,13.0,1.0746527777777777,26.0,7.0,75.1,65.4,9.7,-1.21,5.46,2.3,7.76,-0.546875
2008,1,NW,8,2,Tennessee,72,15,American,57,15,16,31.0,5.0,81.8,70.0,11.86,7.84,15.69,2.73,18.41,-0.0909090909090909,21.0,12.0,64.8,62.1,2.76,-4.0,-4.6,2.73,-1.87,-0.1614583333333333
2008,1,SW,9,1,Kansas,85,16,Portland St.,61,17,18,37.0,3.0,80.5,61.5,19.03,8.2,14.9,11.99,26.9,-0.0966796875,23.0,10.0,73.9,68.0,5.85,-3.01,4.11,-2.38,1.72,-0.140625
2008,1,SW,10,8,UNLV,71,9,Kent St.,58,19,20,27.0,8.0,69.7,62.3,7.4,4.02,2.46,7.77,10.23,-0.59375,28.0,7.0,68.9,61.9,7.06,0.41,1.96,5.51,7.47,-0.3229166666666667
